total_fat,vitamin_a,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,protein,carbohydrate,fiber,sugars,calories
0.2,74.0,0.0,0.12,141.0,0.0,0.0,2.1,8.53,3.2,0.0,37
0.1,17.0,0.0,0.028,3.1,0.0,0.01,0.1,66.4,0.4,21.01,253
3.5,0.0,0.68,0.055,0.0,0.0,0.3,6.81,9.22,0.7,0.34,95
3.0,874.0,0.0,0.332,39.2,0.0,0.01,14.11,55.76,12.3,37.59,258
0.1,283.0,0.0,0.09,146.4,0.0,0.55,0.32,9.48,3.6,5.88,36
0.4,1942.0,0.0,0.207,11.0,0.0,0.0,3.15,2.33,0.0,0.0,19
0.1,0.0,0.0,0.163,21.8,0.0,0.05,1.11,6.58,0.9,5.69,28
0.3,1774.0,0.0,0.106,6.2,0.0,0.0,0.84,7.94,0.7,0.0,33
100.0,100000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,902
31.0,0.0,0.0,0.695,0.0,0.0,0.0,8.1,53.66,0.0,0.0,509
2.8,6.0,0.0,0.1,0.0,0.0,0.63,10.8,51.87,5.4,0.4,276
9.7,308.0,0.48,0.202,0.6,0.0,0.0,11.27,62.09,0.0,0.0,381
2.3,60.0,2.2,0.26,0.0,0.0,0.0,17.5,0.0,0.0,0.0,96
11.0,421.0,0.39,0.048,0.6,8.0,0.3,3.5,23.6,0.7,21.22,207
1.7,206.0,1.23,0.0,0.0,49.0,0.0,2.88,3.29,0.4,2.47,41
0.1,1000.0,0.0,0.19,31.0,0.0,0.17,2.0,6.1,3.1,2.27,27
1.7,0.0,1.58,0.162,0.0,124.0,0.4,20.08,0.0,0.0,0.0,96
0.5,2622.0,0.0,0.171,20.2,0.0,1.62,3.17,2.85,2.7,0.38,22
4.7,214.0,0.0,0.622,0.0,0.0,0.49,9.42,74.26,7.3,0.64,365
0.5,100.0,1.0,0.12,0.0,0.0,0.5,19.8,0.0,0.0,0.0,89
0.2,6.0,0.0,0.241,5.0,0.0,0.0,1.4,17.51,1.5,8.73,72
